distancia, demanda
3353.706000000002, 80832
7135.939000000002, 80097
4318.062999999999, 80735
7604.280000000004, 80097
4512.473999999998, 80735
3103.0800000000013, 80832
5879.041999999999, 80097
3914.065000000001, 80735
2286.2490000000003, 79259
2980.055000000001, 80832
6308.517, 80097
7224.263000000003, 80097
2900.241, 80832
2740.8160000000003, 80806
0.0, 0
4517.863999999999, 80735
5121.743999999997, 80591
1014.12, 55191
4512.186999999998, 80735
2860.362, 80832
5123.357999999997, 80591
7240.421000000004, 80097
1079.277, 56701
430.24, 14386
5786.567999999998, 80591
5259.069999999999, 80591
2179.2870000000003, 79044
3862.617000000001, 80735
2375.9970000000003, 78951
2315.436, 78378
5005.149999999997, 80591
3481.2270000000017, 80832
2882.641, 80832
3346.541000000002, 80735
3367.563000000002, 80735
2900.049, 80832
5668.7649999999985, 80097
4749.069999999997, 80735
2509.1260000000007, 79608
3291.514000000002, 80735
2170.6130000000003, 78683
2204.484, 79148
4911.649999999997, 80591
2696.323000000001, 80806
2164.8750000000005, 78976
6368.476, 80097
4930.667999999997, 80591
7280.269000000004, 80097
3412.1370000000015, 80735
2741.738, 80806
5006.358999999997, 80591
3136.7670000000016, 80832
2496.5340000000006, 79608
5777.110999999998, 80591
5829.9079999999985, 80591
5144.180999999998, 80591
4611.780999999997, 80735
2407.0470000000005, 79832
776.3859999999999, 34117
3094.0830000000014, 80832
2843.9770000000003, 80848
4393.053999999998, 80735
2729.3290000000006, 80806
2398.3570000000004, 79832
2898.148, 80832
4518.324999999999, 80735
3373.259000000002, 80832
7225.961000000002, 80097
898.014, 50424
5811.038999999999, 80097
2511.631000000001, 79608
4462.490999999998, 80735
1416.073, 64383
5142.915999999997, 80591
3912.5510000000013, 80735
7839.299000000004, 80097
2398.0700000000006, 79832
2363.775, 79029
3983.567000000001, 80735
1521.5020000000002, 66173
1134.5120000000002, 58301
3914.216000000001, 80735
4080.121000000001, 80735
2973.198000000001, 80832
2830.617, 80848
6260.248, 80097
1004.007, 55094
3468.7620000000015, 80832
6636.377000000002, 80097
4352.050999999999, 80735
7833.800000000005, 80097
4944.675999999997, 80591
2926.1369999999997, 80832
4517.5769999999975, 80735
2915.614, 80832
3109.4260000000013, 80832
